txn_id,customer_id,from_account,to_account,amount,txn_time,channel,status
T0001,C001,A001,B001,10000,2026-08-20 02:05:00,UPI,COMPLETED
T0002,C001,A001,B001,10000,2026-08-20 02:07:00,UPI,COMPLETED
T0003,C001,A001,B001,10000,2026-08-20 02:09:00,UPI,COMPLETED
T0004,C001,A001,B999,1500,2026-08-20 10:00:00,UPI,COMPLETED
T0005,C002,A002,B002,5000,2026-08-20 10:01:00,UPI,COMPLETED
T0006,C002,A002,B002,6000,2026-08-20 10:20:00,UPI,COMPLETED
T0007,C002,A002,B002,7000,2026-08-20 10:29:00,UPI,COMPLETED
T0008,C002,A002,B777,3000,2026-08-20 11:00:00,UPI,COMPLETED
T0009,C003,A003,B003,15000,2026-08-20 02:01:00,UPI,COMPLETED
T0010,C003,A003,B003,15000,2026-08-20 02:02:00,UPI,COMPLETED
T0011,C003,A003,B003,15000,2026-08-20 02:03:00,UPI,COMPLETED
T0012,C003,A003,B003,15000,2026-08-20 02:20:00,UPI,COMPLETED
T0013,C004,A004,B004,10000,2026-08-20 14:01:00,IMPS,COMPLETED
T0014,C004,A004,B004,10000,2026-08-20 14:02:00,IMPS,COMPLETED
T0015,C004,A004,B004,10000,2026-08-20 14:03:00,IMPS,COMPLETED
T0016,C004,A004,B004,10000,2026-08-20 14:04:00,IMPS,COMPLETED
T0017,C005,A005,B005,25000,2026-08-20 22:01:00,UPI,COMPLETED
T0018,C005,A005,B005,25000,2026-08-20 22:04:00,UPI,COMPLETED
T0019,C005,A005,B005,25000,2026-08-20 22:07:00,UPI,COMPLETED
T0020,C006,A006,B006,40000,2026-08-21 00:05:00,UPI,COMPLETED
T0021,C006,A006,B006,40000,2026-08-21 00:08:00,UPI,COMPLETED
T0022,C006,A006,B006,40000,2026-08-21 00:11:00,UPI,COMPLETED
T0023,C007,A007,B007,9000,2026-08-20 09:30:00,UPI,COMPLETED
T0024,C007,A007,B007,9000,2026-08-20 09:33:00,UPI,COMPLETED
T0025,C007,A007,B007,9000,2026-08-20 09:36:00,UPI,COMPLETED
T0026,C008,A008,B008,8000,2026-08-20 08:59:00,UPI,COMPLETED
T0027,C008,A008,B008,8000,2026-08-20 09:05:00,UPI,COMPLETED
T0028,C008,A008,B008,8000,2026-08-20 09:10:00,UPI,COMPLETED
T0029,C008,A008,B008,8000,2026-08-20 09:15:00,UPI,COMPLETED
T0030,C009,A009,B009,12000,2026-08-20 11:02:00,UPI,COMPLETED
T0031,C009,A009,B009,12000,2026-08-20 11:04:00,UPI,COMPLETED
T0032,C009,A009,B009,12000,2026-08-20 11:06:00,UPI,COMPLETED
T0033,C009,A009,B010,9000,2026-08-20 11:31:00,UPI,COMPLETED
T0034,C009,A009,B010,9000,2026-08-20 11:34:00,UPI,COMPLETED
T0035,C010,A010,B011,2000,2026-08-20 16:05:00,UPI,COMPLETED
T0036,C010,A010,B011,2200,2026-08-20 16:20:00,UPI,COMPLETED
T0037,C010,A010,B011,1800,2026-08-20 16:29:00,UPI,COMPLETED
T0038,C001,A001,B001,10000,2026-08-20 03:00:00,UPI,COMPLETED
T0039,C003,A003,B003,15000,2026-08-20 02:45:00,UPI,COMPLETED
T0040,C004,A004,B004,10000,2026-08-20 14:25:00,IMPS,COMPLETED
